wavelength	Species	transition	A_coeff	Eu(K)	comments	ref
1.7006979932	HeI	3Po-3D2-1	1.840E+05	275445.6	Blnd20	CLOUDY
1.7007033500	HeI	3Po-3D2-2	1.650E+06	275445.6	Blnd20	CLOUDY
1.7007036975	HeI	3Po-3D2-3	6.610E+06	275445.6	Blnd20	CLOUDY
1.7007043492	HeI	3Po-3D1-1	2.750E+06	275445.6	Blnd20	CLOUDY
1.7007097060	HeI	3Po-3D1-2	4.960E+06	275445.6	Blnd20	CLOUDY
1.7007826340	HeI	3Po-3D0-1	3.670E+06	275445.6	Blnd20	CLOUDY
1.7366850	HI	4-10	4.235E+04	156225.1		CLOUDY
1.747955195	H2	v=1,J=9->v=0,J=7	2.982E-07	12817.3		MEUDON
1.788049830	H2	v=1,J=8->v=0,J=6	3.537E-07	11521.1		MEUDON
1.796169084	H2	v=2,J=21->v=1,J=19	9.984E-07	38163.2		MEUDON
1.7975968	[FeII]	a4F-a4D3/2-3/2	2.120E-03	12489.2		CLOUDY
1.8005123	[FeII]	a4F-a4D5/2-5/2	1.820E-03	12074.1		CLOUDY
1.8098952	[FeII]	a4F-a4D7/2-7/2	1.320E-03	11445.9		CLOUDY
1.8179084	HI	4-9	7.459E+04	155854.9		CLOUDY
1.835759686	H2	v=1,J=7->v=0,J=5	3.954E-07	10341.2		MEUDON
1.852166275	H2	v=2,J=23->v=1,J=21	1.566E-06	41895.7		MEUDON
1.8690388651	7HeI	3D-3Fo3-2	6.150E+04	275456.2	Blnd21	CLOUDY
1.8690397428	3HeI	3D-3Fo2-2	2.150E+06	275456.2	Blnd21	CLOUDY
1.8690418758	4HeI	3D-3Fo3-4	1.380E+07	275456.2	Blnd21	CLOUDY
1.8690443699	9HeI	3D-3Fo3-3	9.760E+05	275456.2	Blnd21	CLOUDY
1.8690452476	5HeI	3D-3Fo2-3	8.010E+06	275456.2	Blnd21	CLOUDY
1.8690551838	1HeI	3D-3Fo1-2	1.160E+07	275456.2	Blnd21	CLOUDY
1.8702318072	3HeI	1D-1Fo2-3	8.980E+06	275456.2	Blnd22	CLOUDY
1.875613	HI	3-4	8.986E+06	147940.5		CLOUDY
1.891935929	H2	v=1,J=6->v=0,J=4	4.188E-07	9286.4		MEUDON
1.9094570595	HeI	1Po-1D1-2	7.120E+06	275448.4	Blnd23	CLOUDY
1.939304	[NiII]	4F-2F9/2-7/2	8.700E-02	19496.0		CLOUDY
1.944883550	H2	v=2,J=7->v=1,J=5	5.062E-07	15762.7		MEUDON
1.9450871	HI	4-8	1.424E+05	155337.5		CLOUDY
1.9548173680	HeI	3D-3Po1-0	6.450E+05	275118.5	Blnd24	CLOUDY
1.9548426370	HeI	3D-3Po2-1	4.840E+05	275118.3	Blnd24	CLOUDY
1.9548451147	HeI	3D-3Po3-2	5.420E+05	275118.3	Blnd24	CLOUDY
